rx             ry          spin1          spin2<SS(rx,ry,s1,s2)>  sd(SS(rx,ry))
0              0              0              0              1    1.05367e-08
0              0              0              1        0.28958      0.0520856
0              0              1              0        0.28958      0.0520856
0              0              1              1              1    1.05367e-08
0              1              0              0       0.345617      0.0266338
0              1              0              1       0.280656      0.0766438
0              1              1              0       0.116656      0.0407093
0              1              1              1       0.253127      0.0530594
0              2              0              0       0.338869      0.0366198
0              2              0              1       0.267957      0.0230769
0              2              1              0       0.267957      0.0230769
0              2              1              1       0.246435      0.0723417
0              3              0              0       0.345617      0.0266338
0              3              0              1       0.116656      0.0407093
0              3              1              0       0.280656      0.0766438
0              3              1              1       0.253127      0.0530594

1              0              0              0       0.478229      0.0244508
1              0              0              1       0.196948      0.0654675
1              0              1              0       0.405278     0.00412346
1              0              1              1       0.340438      0.0424139
1              1              0              0       0.262407     0.00937114
1              1              0              1       0.408883     0.00721282
1              1              1              0       0.304495     0.00385661
1              1              1              1       0.139538      0.0139351
1              2              0              0       0.314957      0.0242296
1              2              0              1       0.429768      0.0148392
1              2              1              0       0.264658      0.0380849
1              2              1              1       0.222572      0.0930931
1              3              0              0       0.346368     0.00949598
1              3              0              1       0.174219      0.0245726
1              3              1              0       0.486032      0.0422304
1              3              1              1       0.206183      0.0352511

2              0              0              0       0.324852      0.0109086
2              0              0              1       0.259522      0.0305477
2              0              1              0       0.259522      0.0305477
2              0              1              1       0.191373       0.112117
2              1              0              0       0.337126     0.00904436
2              1              0              1       0.498502        0.01455
2              1              1              0       0.260009     0.00416411
2              1              1              1       0.224649     0.00624756
2              2              0              0       0.190874      0.0325929
2              2              0              1       0.292416      0.0139268
2              2              1              0       0.292416      0.0139268
2              2              1              1      0.0147157       0.105718
2              3              0              0       0.337126     0.00904436
2              3              0              1       0.260009     0.00416411
2              3              1              0       0.498502        0.01455
2              3              1              1       0.224649     0.00624756

3              0              0              0       0.478229      0.0244508
3              0              0              1       0.405278     0.00412346
3              0              1              0       0.196948      0.0654675
3              0              1              1       0.340438      0.0424139
3              1              0              0       0.346368     0.00949598
3              1              0              1       0.486032      0.0422304
3              1              1              0       0.174219      0.0245726
3              1              1              1       0.206183      0.0352511
3              2              0              0       0.314957      0.0242296
3              2              0              1       0.264658      0.0380849
3              2              1              0       0.429768      0.0148392
3              2              1              1       0.222572      0.0930931
3              3              0              0       0.262407     0.00937114
3              3              0              1       0.304495     0.00385661
3              3              1              0       0.408883     0.00721282
3              3              1              1       0.139538      0.0139351

