Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      1.41     0.00  1975040     0.00     0.00  std::vector<std::vector<std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >, std::allocator<std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > > > >, std::allocator<std::vector<std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >, std::allocator<std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > > > > > >::operator[](unsigned long)
  0.00      1.41     0.00  1975016     0.00     0.00  std::vector<std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >, std::allocator<std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > > > >::operator[](unsigned long)
  0.00      1.41     0.00  1668481     0.00     0.00  std::vector<double, std::allocator<double> >::_S_max_size(std::allocator<double> const&)
  0.00      1.41     0.00  1588346     0.00     0.00  std::vector<std::complex<double>, std::allocator<std::complex<double> > >::size() const
  0.00      1.41     0.00  1540472     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_get_Tp_allocator() const
  0.00      1.41     0.00  1540472     0.00     0.00  std::vector<double, std::allocator<double> >::max_size() const
  0.00      1.41     0.00  1413769     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_get_Tp_allocator()
  0.00      1.41     0.00  1248480     0.00     0.00  Matrix<int>::operator()(int, int)
  0.00      1.41     0.00  1215096     0.00     0.00  std::complex<double> std::operator*<double>(double const&, std::complex<double> const&)
  0.00      1.41     0.00  1040224     0.00     0.00  std::complex<double>::__rep() const
  0.00      1.41     0.00  1035648     0.00     0.00  Coordinates::Ncell(int, int)
  0.00      1.41     0.00  1025824     0.00     0.00  std::complex<double> std::operator*<double>(std::complex<double> const&, double const&)
  0.00      1.41     0.00   898256     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_deallocate(double*, unsigned long)
  0.00      1.41     0.00   897511     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      1.41     0.00   858030     0.00     0.00  std::_Vector_base<std::complex<double>, std::allocator<std::complex<double> > >::_M_get_Tp_allocator()
  0.00      1.41     0.00   773328     0.00     0.00  Matrix<std::complex<double> >::operator()(int, int)
  0.00      1.41     0.00   769154     0.00     0.00  std::__new_allocator<double>::~__new_allocator()
  0.00      1.41     0.00   768160     0.00     0.00  std::uniform_real_distribution<double>::param_type::a() const
  0.00      1.41     0.00   768160     0.00     0.00  std::log(long double)
  0.00      1.41     0.00   768048     0.00     0.00  std::complex<double>&& std::forward<std::complex<double> >(std::remove_reference<std::complex<double> >::type&)
  0.00      1.41     0.00   691326     0.00     0.00  __gnu_cxx::__normal_iterator<std::complex<double>*, std::vector<std::complex<double>, std::allocator<std::complex<double> > > >::base() const
  0.00      1.41     0.00   691324     0.00     0.00  __gnu_cxx::__normal_iterator<std::complex<double> const*, std::vector<std::complex<double>, std::allocator<std::complex<double> > > >::__normal_iterator(std::complex<double> const* const&)
  0.00      1.41     0.00   691324     0.00     0.00  __gnu_cxx::__normal_iterator<std::complex<double> const*, std::vector<std::complex<double>, std::allocator<std::complex<double> > > >::base() const
  0.00      1.41     0.00   691324     0.00     0.00  __gnu_cxx::__normal_iterator<std::complex<double> const*, std::vector<std::complex<double>, std::allocator<std::complex<double> > > > std::__miter_base<__gnu_cxx::__normal_iterator<std::complex<double> const*, std::vector<std::complex<double>, std::allocator<std::complex<double> > > > >(__gnu_cxx::__normal_iterator<std::complex<double> const*, std::vector<std::complex<double>, std::allocator<std::complex<double> > > >)
  0.00      1.41     0.00   691324     0.00     0.00  std::complex<double>* std::__niter_base<std::complex<double>*, std::vector<std::complex<double>, std::allocator<std::complex<double> > > >(__gnu_cxx::__normal_iterator<std::complex<double>*, std::vector<std::complex<double>, std::allocator<std::complex<double> > > >)
  0.00      1.41     0.00   647520     0.00     0.00  Coordinates::indx_cellwise(int)
  0.00      1.41     0.00   647520     0.00     0.00  Coordinates::indy_cellwise(int)
  0.00      1.41     0.00   640484     0.00     0.00  std::vector<std::complex<double>, std::allocator<std::complex<double> > >::_S_max_size(std::allocator<std::complex<double> > const&)
  0.00      1.41     0.00   635720     0.00     0.00  std::vector<std::vector<std::vector<std::vector<std::complex<double>, std::allocator<std::complex<double> > >, std::allocator<std::vector<std::complex<double>, std::allocator<std::complex<double> > > > >, std::allocator<std::vector<std::vector<std::complex<double>, std::allocator<std::complex<double> > >, std::allocator<std::vector<std::complex<double>, std::allocator<std::complex<double> > > > > > >, std::allocator<std::vector<std::vector<std::vector<std::complex<double>, std::allocator<std::complex<double> > >, std::allocator<std::vector<std::complex<double>, std::allocator<std::complex<double> > > > >, std::allocator<std::vector<std::vector<std::complex<double>, std::allocator<std::complex<double> > >, std::allocator<std::vector<std::complex<double>, std::allocator<std::complex<double> > > > > > > > >::operator[](unsigned long)
  0.00      1.41     0.00   513572     0.00     0.00  std::__size_to_integer(unsigned long)
  0.00      1.41     0.00   513526     0.00     0.00  double* std::fill_n<double*, unsigned long, double>(double*, unsigned long, double const&)
  0.00      1.41     0.00   513526     0.00     0.00  void std::__fill_a<double*, double>(double*, double*, double const&)
  0.00      1.41     0.00   513324     0.00     0.00  std::vector<double, std::allocator<double> >::resize(unsigned long)
  0.00      1.41     0.00   513138     0.00     0.00  void std::_Destroy_aux<true>::__destroy<double*>(double*, double*)
  0.00      1.41     0.00   513138     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_impl_data::_Vector_impl_data()
  0.00      1.41     0.00   513138     0.00     0.00  void std::_Destroy<double*>(double*, double*)
  0.00      1.41     0.00   513137     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_impl::~_Vector_impl()
  0.00      1.41     0.00   513137     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::~_Vector_base()
  0.00      1.41     0.00   513128     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_allocate(unsigned long)
  0.00      1.41     0.00   513128     0.00     0.00  std::__new_allocator<double>::deallocate(double*, unsigned long)
  0.00      1.41     0.00   513128     0.00     0.00  std::__new_allocator<double>::allocate(unsigned long, void const*)
  0.00      1.41     0.00   513126     0.00     0.00  double* std::__uninitialized_default_n_1<true>::__uninit_default_n<double*, unsigned long>(double*, unsigned long)
  0.00      1.41     0.00   513126     0.00     0.00  void std::_Construct<double>(double*)
