rx             ry          spin1          spin2<SS(rx,ry,s1,s2)>  sd(SS(rx,ry))
0              0              0              0              1    2.10734e-08
0              0              0              1      -0.999471    8.03736e-05
0              0              1              0      -0.999471    8.03736e-05
0              0              1              1              1    2.10734e-08
0              1              0              0       0.999428    9.78457e-05
0              1              0              1      -0.999454    0.000111463
0              1              1              0      -0.999535    6.86868e-05
0              1              1              1       0.999418    0.000159989
0              2              0              0       0.999375     0.00013649
0              2              0              1      -0.999345    7.09006e-05
0              2              1              0      -0.999345    7.09006e-05
0              2              1              1       0.999557    0.000181926
0              3              0              0       0.999428    9.78457e-05
0              3              0              1      -0.999535    6.86868e-05
0              3              1              0      -0.999454    0.000111463
0              3              1              1       0.999418    0.000159989

1              0              0              0       0.999284    0.000197449
1              0              0              1      -0.999506    0.000102686
1              0              1              0      -0.999333     0.00013485
1              0              1              1       0.999365    0.000156365
1              1              0              0       0.999281    0.000143652
1              1              0              1      -0.999342    8.14627e-05
1              1              1              0      -0.999328    7.37767e-05
1              1              1              1       0.999437    0.000127716
1              2              0              0       0.999213    0.000114894
1              2              0              1      -0.999383    0.000111475
1              2              1              0       -0.99926    0.000158074
1              2              1              1       0.999257    0.000201602
1              3              0              0        0.99928    0.000173247
1              3              0              1      -0.999404    0.000129859
1              3              1              0      -0.999198    0.000183968
1              3              1              1       0.999404    0.000162702

2              0              0              0       0.999278    0.000246298
2              0              0              1      -0.999216    0.000110372
2              0              1              0      -0.999216    0.000110372
2              0              1              1       0.999334    0.000185624
2              1              0              0       0.999253    0.000132569
2              1              0              1      -0.999199    0.000117069
2              1              1              0      -0.999283    0.000129922
2              1              1              1       0.999171    0.000234299
2              2              0              0        0.99919    0.000132776
2              2              0              1      -0.999232    0.000147357
2              2              1              0      -0.999232    0.000147357
2              2              1              1       0.999313    0.000292565
2              3              0              0       0.999253    0.000132569
2              3              0              1      -0.999283    0.000129922
2              3              1              0      -0.999199    0.000117069
2              3              1              1       0.999171    0.000234299

3              0              0              0       0.999284    0.000197449
3              0              0              1      -0.999333     0.00013485
3              0              1              0      -0.999506    0.000102686
3              0              1              1       0.999365    0.000156365
3              1              0              0        0.99928    0.000173247
3              1              0              1      -0.999198    0.000183968
3              1              1              0      -0.999404    0.000129859
3              1              1              1       0.999404    0.000162702
3              2              0              0       0.999213    0.000114894
3              2              0              1       -0.99926    0.000158074
3              2              1              0      -0.999383    0.000111475
3              2              1              1       0.999257    0.000201602
3              3              0              0       0.999281    0.000143652
3              3              0              1      -0.999328    7.37767e-05
3              3              1              0      -0.999342    8.14627e-05
3              3              1              1       0.999437    0.000127716

