rx             ry          spin1          spin2<SS(rx,ry,s1,s2)>  sd(SS(rx,ry))
0              0              0              0              1           -nan
0              0              0              1      0.0513476       0.027145
0              0              1              0      0.0513476       0.027145
0              0              1              1              1           -nan
0              1              0              0       0.145155     0.00935964
0              1              0              1       0.186369      0.0815538
0              1              1              0     -0.0663843      0.0471492
0              1              1              1     -0.0351232       0.022351
0              2              0              0       0.429312     0.00103384
0              2              0              1     0.00529711      0.0609889
0              2              1              0     0.00529711      0.0609889
0              2              1              1      0.0700696      0.0625914
0              3              0              0       0.145155     0.00935964
0              3              0              1     -0.0663843      0.0471492
0              3              1              0       0.186369      0.0815538
0              3              1              1     -0.0351232       0.022351

1              0              0              0      0.0915361      0.0108424
1              0              0              1      -0.145731      0.0201523
1              0              1              0     -0.0316608      0.0238987
1              0              1              1     -0.0896391      0.0272091
1              1              0              0      -0.130474     0.00291523
1              1              0              1       0.119727     0.00257662
1              1              1              0       0.107654     0.00853279
1              1              1              1    0.000639828      0.0294211
1              2              0              0       0.177075      0.0200137
1              2              0              1     -0.0380808     0.00209249
1              2              1              0       0.231797      0.0136542
1              2              1              1      0.0214704      0.0468323
1              3              0              0      -0.183623      0.0242933
1              3              0              1       0.218011     0.00640803
1              3              1              0     -0.0791117      0.0740365
1              3              1              1      0.0352305      0.0117174

2              0              0              0     -0.0190654      0.0210179
2              0              0              1     -0.0710955      0.0160902
2              0              1              0     -0.0710955      0.0160902
2              0              1              1       0.169919      0.0704486
2              1              0              0      -0.162285      0.0426284
2              1              0              1     -0.0728151      0.0541156
2              1              1              0      -0.177942     0.00662765
2              1              1              1      0.0581152      0.0570881
2              2              0              0      -0.118552      0.0481621
2              2              0              1      -0.352984      0.0364572
2              2              1              0      -0.352984      0.0364572
2              2              1              1     -0.0671277      0.0789338
2              3              0              0      -0.162285      0.0426284
2              3              0              1      -0.177942     0.00662765
2              3              1              0     -0.0728151      0.0541156
2              3              1              1      0.0581152      0.0570881

3              0              0              0      0.0915361      0.0108424
3              0              0              1     -0.0316608      0.0238987
3              0              1              0      -0.145731      0.0201523
3              0              1              1     -0.0896391      0.0272091
3              1              0              0      -0.183623      0.0242933
3              1              0              1     -0.0791117      0.0740365
3              1              1              0       0.218011     0.00640803
3              1              1              1      0.0352305      0.0117174
3              2              0              0       0.177075      0.0200137
3              2              0              1       0.231797      0.0136542
3              2              1              0     -0.0380808     0.00209249
3              2              1              1      0.0214704      0.0468323
3              3              0              0      -0.130474     0.00291523
3              3              0              1       0.107654     0.00853279
3              3              1              0       0.119727     0.00257662
3              3              1              1    0.000639828      0.0294211

