rx             ry    <SS(rx,ry)>  sd(SS(rx,ry))
0              0              1              0
0              1    4.91936e-06              0
0              2      -0.999814              0
0              3    7.06944e-06              0
0              4       0.999763              0
0              5     1.0528e-05              0
0              6      -0.999748              0
0              7     1.0528e-05              0
0              8       0.999763              0
0              9    7.06944e-06              0
0             10      -0.999814              0
0             11    4.91936e-06              0

1              0    3.51073e-05              0
1              1       0.999802              0
1              2    1.66714e-05              0
1              3      -0.999785              0
1              4   -5.61866e-06              0
1              5       0.999805              0
1              6   -2.61211e-05              0
1              7      -0.999791              0
1              8   -8.89606e-06              0
1              9       0.999791              0
1             10    3.50477e-05              0
1             11      -0.999781              0

2              0      -0.999777              0
2              1    1.81872e-05              0
2              2       0.999783              0
2              3    8.58064e-06              0
2              4      -0.999793              0
2              5   -1.28587e-06              0
2              6       0.999779              0
2              7    1.19545e-05              0
2              8      -0.999818              0
2              9    -6.6484e-06              0
2             10        0.99982              0
2             11    1.03142e-05              0

3              0    2.53278e-05              0
3              1      -0.999786              0
3              2   -8.60775e-06              0
3              3       0.999796              0
3              4   -2.81101e-05              0
3              5      -0.999797              0
3              6   -1.08421e-05              0
3              7       0.999781              0
3              8   -3.59932e-07              0
3              9      -0.999794              0
3             10    6.39512e-06              0
3             11       0.999781              0

4              0       0.999772              0
4              1    1.01523e-05              0
4              2      -0.999825              0
4              3    3.58062e-06              0
4              4        0.99982              0
4              5   -2.22948e-05              0
4              6      -0.999812              0
4              7    -3.0906e-05              0
4              8       0.999772              0
4              9   -1.42855e-05              0
4             10       -0.99974              0
4             11   -1.95468e-05              0

5              0   -1.09051e-05              0
5              1       0.999776              0
5              2    -1.0048e-05              0
5              3      -0.999777              0
5              4    3.48913e-06              0
5              5       0.999775              0
5              6   -2.98844e-06              0
5              7      -0.999817              0
5              8    8.39702e-06              0
5              9       0.999793              0
5             10   -5.64708e-06              0
5             11      -0.999775              0

6              0      -0.999844              0
6              1    3.21358e-07              0
6              2       0.999797              0
6              3   -5.46145e-06              0
6              4      -0.999781              0
6              5   -3.47771e-06              0
6              6        0.99976              0
6              7   -3.47771e-06              0
6              8      -0.999781              0
6              9   -5.46145e-06              0
6             10       0.999797              0
6             11    3.21358e-07              0

7              0   -1.09051e-05              0
7              1      -0.999775              0
7              2   -5.64708e-06              0
7              3       0.999793              0
7              4    8.39702e-06              0
7              5      -0.999817              0
7              6   -2.98844e-06              0
7              7       0.999775              0
7              8    3.48913e-06              0
7              9      -0.999777              0
7             10    -1.0048e-05              0
7             11       0.999776              0

8              0       0.999772              0
8              1   -1.95468e-05              0
8              2       -0.99974              0
8              3   -1.42855e-05              0
8              4       0.999772              0
8              5    -3.0906e-05              0
8              6      -0.999812              0
8              7   -2.22948e-05              0
8              8        0.99982              0
8              9    3.58062e-06              0
8             10      -0.999825              0
8             11    1.01523e-05              0

9              0    2.53278e-05              0
9              1       0.999781              0
9              2    6.39512e-06              0
9              3      -0.999794              0
9              4   -3.59932e-07              0
9              5       0.999781              0
9              6   -1.08421e-05              0
9              7      -0.999797              0
9              8   -2.81101e-05              0
9              9       0.999796              0
9             10   -8.60775e-06              0
9             11      -0.999786              0

10              0      -0.999777              0
10              1    1.03142e-05              0
10              2        0.99982              0
10              3    -6.6484e-06              0
10              4      -0.999818              0
10              5    1.19545e-05              0
10              6       0.999779              0
10              7   -1.28587e-06              0
10              8      -0.999793              0
10              9    8.58064e-06              0
10             10       0.999783              0
10             11    1.81872e-05              0

11              0    3.51073e-05              0
11              1      -0.999781              0
11              2    3.50477e-05              0
11              3       0.999791              0
11              4   -8.89606e-06              0
11              5      -0.999791              0
11              6   -2.61211e-05              0
11              7       0.999805              0
11              8   -5.61866e-06              0
11              9      -0.999785              0
11             10    1.66714e-05              0
11             11       0.999802              0

