qx             qy   <SSQ(qx,qy)> sd(SSQ(qx,qy))
0              0    2.64612e-07              0
0       0.523599    4.92611e-06              0
0         1.0472    3.37259e-07              0
0         1.5708    9.02233e-07              0
0         2.0944    1.36566e-06              0
0        2.61799    2.02126e-06              0
0        3.14159     8.9868e-07              0
0        3.66519    2.02126e-06              0
0        4.18879    1.36566e-06              0
0        4.71239    9.02233e-07              0
0        5.23599    3.37259e-07              0
0        5.75959    4.92611e-06              0

0.523599              0    4.26889e-06              0
0.523599       0.523599    2.64224e-06              0
0.523599         1.0472    5.80088e-06              0
0.523599         1.5708    7.57704e-07              0
0.523599         2.0944    1.99306e-07              0
0.523599        2.61799     1.6188e-06              0
0.523599        3.14159    2.01295e-07              0
0.523599        3.66519    5.85528e-06              0
0.523599        4.18879    4.72425e-06              0
0.523599        4.71239    7.03456e-07              0
0.523599        5.23599    2.27626e-06              0
0.523599        5.75959    2.19412e-06              0

1.0472              0    2.06321e-06              0
1.0472       0.523599    1.75477e-07              0
1.0472         1.0472    4.60543e-07              0
1.0472         1.5708    1.16282e-06              0
1.0472         2.0944    1.31058e-06              0
1.0472        2.61799    9.95097e-07              0
1.0472        3.14159    4.54281e-07              0
1.0472        3.66519    3.04303e-07              0
1.0472        4.18879    8.74917e-07              0
1.0472        4.71239    1.17913e-06              0
1.0472        5.23599    2.04406e-06              0
1.0472        5.75959    2.32852e-07              0

1.5708              0    1.71692e-07              0
1.5708       0.523599    7.56263e-07              0
1.5708         1.0472    2.57593e-06              0
1.5708         1.5708    1.91728e-06              0
1.5708         2.0944    2.91263e-06              0
1.5708        2.61799    7.99071e-07              0
1.5708        3.14159    2.48468e-06              0
1.5708        3.66519    3.05894e-07              0
1.5708        4.18879    2.13822e-06              0
1.5708        4.71239       0.499896              0
1.5708        5.23599     1.7078e-07              0
1.5708        5.75959    1.14572e-06              0

2.0944              0    4.41973e-07              0
2.0944       0.523599    1.02531e-07              0
2.0944         1.0472    3.06827e-06              0
2.0944         1.5708    2.47276e-07              0
2.0944         2.0944    9.61116e-07              0
2.0944        2.61799    6.11527e-07              0
2.0944        3.14159    3.84349e-07              0
2.0944        3.66519    2.08775e-06              0
2.0944        4.18879    3.46693e-06              0
2.0944        4.71239    2.23816e-06              0
2.0944        5.23599    1.70818e-06              0
2.0944        5.75959    3.48082e-07              0

2.61799              0    1.11804e-06              0
2.61799       0.523599    8.02722e-07              0
2.61799         1.0472    1.41061e-06              0
2.61799         1.5708    1.34751e-06              0
2.61799         2.0944    6.23379e-06              0
2.61799        2.61799    2.59499e-07              0
2.61799        3.14159    2.78089e-07              0
2.61799        3.66519    7.07201e-08              0
2.61799        4.18879    8.46191e-07              0
2.61799        4.71239    1.30058e-06              0
2.61799        5.23599    4.28176e-06              0
2.61799        5.75959    1.03108e-08              0

3.14159              0    4.89616e-08              0
3.14159       0.523599    7.34104e-08              0
3.14159         1.0472    1.18165e-06              0
3.14159         1.5708    2.19687e-07              0
3.14159         2.0944    6.44953e-08              0
3.14159        2.61799    9.97092e-08              0
3.14159        3.14159    4.31492e-07              0
3.14159        3.66519    9.97092e-08              0
3.14159        4.18879    6.44953e-08              0
3.14159        4.71239    2.19687e-07              0
3.14159        5.23599    1.18165e-06              0
3.14159        5.75959    7.34104e-08              0

3.66519              0    1.11804e-06              0
3.66519       0.523599    1.03108e-08              0
3.66519         1.0472    4.28176e-06              0
3.66519         1.5708    1.30058e-06              0
3.66519         2.0944    8.46191e-07              0
3.66519        2.61799    7.07201e-08              0
3.66519        3.14159    2.78089e-07              0
3.66519        3.66519    2.59499e-07              0
3.66519        4.18879    6.23379e-06              0
3.66519        4.71239    1.34751e-06              0
3.66519        5.23599    1.41061e-06              0
3.66519        5.75959    8.02722e-07              0

4.18879              0    4.41973e-07              0
4.18879       0.523599    3.48082e-07              0
4.18879         1.0472    1.70818e-06              0
4.18879         1.5708    2.23816e-06              0
4.18879         2.0944    3.46693e-06              0
4.18879        2.61799    2.08775e-06              0
4.18879        3.14159    3.84349e-07              0
4.18879        3.66519    6.11527e-07              0
4.18879        4.18879    9.61116e-07              0
4.18879        4.71239    2.47276e-07              0
4.18879        5.23599    3.06827e-06              0
