qx             qy   <SSQ(qx,qy)> sd(SSQ(qx,qy))
4.18879        5.75959    1.02531e-07              0

4.71239              0    1.71692e-07              0
4.71239       0.523599    1.14572e-06              0
4.71239         1.0472     1.7078e-07              0
4.71239         1.5708       0.499896              0
4.71239         2.0944    2.13822e-06              0
4.71239        2.61799    3.05894e-07              0
4.71239        3.14159    2.48468e-06              0
4.71239        3.66519    7.99071e-07              0
4.71239        4.18879    2.91263e-06              0
4.71239        4.71239    1.91728e-06              0
4.71239        5.23599    2.57593e-06              0
4.71239        5.75959    7.56263e-07              0

5.23599              0    2.06321e-06              0
5.23599       0.523599    2.32852e-07              0
5.23599         1.0472    2.04406e-06              0
5.23599         1.5708    1.17913e-06              0
5.23599         2.0944    8.74917e-07              0
5.23599        2.61799    3.04303e-07              0
5.23599        3.14159    4.54281e-07              0
5.23599        3.66519    9.95097e-07              0
5.23599        4.18879    1.31058e-06              0
5.23599        4.71239    1.16282e-06              0
5.23599        5.23599    4.60543e-07              0
5.23599        5.75959    1.75477e-07              0

5.75959              0    4.26889e-06              0
5.75959       0.523599    2.19412e-06              0
5.75959         1.0472    2.27626e-06              0
5.75959         1.5708    7.03456e-07              0
5.75959         2.0944    4.72425e-06              0
5.75959        2.61799    5.85528e-06              0
5.75959        3.14159    2.01295e-07              0
5.75959        3.66519     1.6188e-06              0
5.75959        4.18879    1.99306e-07              0
5.75959        4.71239    7.57704e-07              0
5.75959        5.23599    5.80088e-06              0
5.75959        5.75959    2.64224e-06              0

