qx             qy   <SSQ(qx,qy)> sd(SSQ(qx,qy))
1.5708        5.23599    2.79193e-07              0
1.5708        5.49779    6.62469e-07              0
1.5708        5.75959    1.41616e-08              0
1.5708        6.02139    9.11782e-07              0

1.8326              0    2.96921e-08              0
1.8326       0.261799      7.469e-08              0
1.8326       0.523599    1.73887e-07              0
1.8326       0.785398    3.42085e-07              0
1.8326         1.0472    1.16008e-07              0
1.8326          1.309    1.65202e-07              0
1.8326         1.5708     2.8044e-08              0
1.8326         1.8326    6.84938e-07              0
1.8326         2.0944    3.06206e-07              0
1.8326        2.35619    2.34507e-07              0
1.8326        2.61799    6.67154e-07              0
1.8326        2.87979    8.80094e-08              0
1.8326        3.14159    4.91642e-07              0
1.8326        3.40339    1.76154e-07              0
1.8326        3.66519    1.46764e-06              0
1.8326        3.92699    2.09541e-07              0
1.8326        4.18879    4.03648e-07              0
1.8326        4.45059    9.31858e-07              0
1.8326        4.71239    6.17364e-07              0
1.8326        4.97419    9.61452e-08              0
1.8326        5.23599    4.24063e-07              0
1.8326        5.49779    3.50801e-07              0
1.8326        5.75959    5.55307e-07              0
1.8326        6.02139    4.35412e-07              0

2.0944              0    1.69799e-07              0
2.0944       0.261799    9.18464e-08              0
2.0944       0.523599     2.3101e-07              0
2.0944       0.785398    4.91081e-08              0
2.0944         1.0472     9.5121e-07              0
2.0944          1.309    3.73864e-07              0
2.0944         1.5708     2.5138e-08              0
2.0944         1.8326    7.27948e-07              0
2.0944         2.0944    5.27763e-07              0
2.0944        2.35619    6.73444e-08              0
2.0944        2.61799    6.71566e-08              0
2.0944        2.87979    4.59505e-08              0
2.0944        3.14159    8.10844e-07              0
2.0944        3.40339    2.49356e-07              0
2.0944        3.66519    2.87442e-08              0
2.0944        3.92699    2.78263e-09              0
2.0944        4.18879    2.76719e-07              0
2.0944        4.45059    2.39848e-08              0
2.0944        4.71239    2.18246e-07              0
2.0944        4.97419    5.84747e-07              0
2.0944        5.23599    1.72045e-07              0
2.0944        5.49779    2.67172e-07              0
2.0944        5.75959    1.50552e-09              0
2.0944        6.02139    4.65293e-07              0

2.35619              0    4.67676e-07              0
2.35619       0.261799    4.04898e-07              0
2.35619       0.523599    1.69557e-07              0
2.35619       0.785398    1.52888e-06              0
2.35619         1.0472    6.04123e-08              0
2.35619          1.309    3.45385e-07              0
2.35619         1.5708    8.70966e-08              0
2.35619         1.8326    9.14826e-07              0
2.35619         2.0944    2.23969e-07              0
2.35619        2.35619     7.7615e-08              0
2.35619        2.61799    3.64538e-07              0
2.35619        2.87979    7.86561e-07              0
2.35619        3.14159    3.40671e-07              0
2.35619        3.40339    6.37066e-08              0
