rx             ry    <SS(rx,ry)>  sd(SS(rx,ry))
10              3   -1.10556e-05              0
10              4      -0.999803              0
10              5   -1.27709e-06              0
10              6       0.999768              0
10              7    3.63888e-07              0
10              8      -0.999805              0
10              9   -8.72626e-06              0
10             10       0.999798              0
10             11    9.61182e-06              0
10             12      -0.999793              0
10             13   -6.63173e-07              0
10             14       0.999795              0
10             15   -1.42493e-05              0
10             16      -0.999806              0
10             17   -3.71056e-06              0
10             18       0.999787              0
10             19   -8.73581e-06              0
10             20      -0.999806              0
10             21   -5.80488e-06              0
10             22        0.99979              0
10             23    2.53814e-06              0

11              0   -5.64009e-06              0
11              1        -0.9998              0
11              2   -6.28557e-06              0
11              3       0.999792              0
11              4   -5.65032e-07              0
11              5      -0.999783              0
11              6    3.70555e-06              0
11              7       0.999812              0
11              8    1.17765e-05              0
11              9      -0.999801              0
11             10     3.7396e-08              0
11             11       0.999779              0
11             12    -1.5544e-05              0
11             13      -0.999803              0
11             14    1.24782e-05              0
11             15       0.999805              0
11             16    2.34957e-06              0
11             17      -0.999784              0
11             18   -6.22902e-06              0
11             19       0.999803              0
11             20   -5.51085e-06              0
11             21       -0.99978              0
11             22   -3.65821e-08              0
11             23       0.999799              0

12              0       0.999782              0
12              1    8.09381e-06              0
12              2      -0.999787              0
12              3    -1.2461e-05              0
12              4       0.999795              0
12              5     4.3914e-06              0
12              6      -0.999794              0
12              7   -3.42863e-07              0
12              8       0.999787              0
12              9   -9.62641e-06              0
12             10      -0.999792              0
12             11    2.56439e-06              0
12             12       0.999808              0
12             13    2.56439e-06              0
12             14      -0.999792              0
12             15   -9.62641e-06              0
12             16       0.999787              0
12             17   -3.42863e-07              0
12             18      -0.999794              0
12             19     4.3914e-06              0
12             20       0.999795              0
12             21    -1.2461e-05              0
12             22      -0.999787              0
12             23    8.09381e-06              0

13              0   -5.64009e-06              0
13              1       0.999799              0
13              2   -3.65821e-08              0
13              3       -0.99978              0
13              4   -5.51085e-06              0
13              5       0.999803              0
13              6   -6.22902e-06              0
13              7      -0.999784              0
13              8    2.34957e-06              0
13              9       0.999805              0
13             10    1.24782e-05              0
13             11      -0.999803              0
13             12    -1.5544e-05              0
13             13       0.999779              0
13             14     3.7396e-08              0
13             15      -0.999801              0
13             16    1.17765e-05              0
13             17       0.999812              0
13             18    3.70555e-06              0
13             19      -0.999783              0
13             20   -5.65032e-07              0
13             21       0.999792              0
13             22   -6.28557e-06              0
13             23        -0.9998              0

14              0      -0.999795              0
14              1    2.53814e-06              0
14              2        0.99979              0
14              3   -5.80488e-06              0
14              4      -0.999806              0
14              5   -8.73581e-06              0
14              6       0.999787              0
14              7   -3.71056e-06              0
14              8      -0.999806              0
14              9   -1.42493e-05              0
14             10       0.999795              0
14             11   -6.63173e-07              0
14             12      -0.999793              0
14             13    9.61182e-06              0
14             14       0.999798              0
14             15   -8.72626e-06              0
14             16      -0.999805              0
14             17    3.63888e-07              0
14             18       0.999768              0
14             19   -1.27709e-06              0
14             20      -0.999803              0
14             21   -1.10556e-05              0
14             22       0.999802              0
14             23   -1.60115e-05              0

15              0   -7.25796e-06              0
