qx             qy   <SSQ(qx,qy)> sd(SSQ(qx,qy))
0              0    4.52933e-06              0
0       0.392699    4.07122e-07              0
0       0.785398    2.19894e-07              0
0         1.1781    7.62471e-07              0
0         1.5708    6.67925e-07              0
0         1.9635    6.12257e-07              0
0        2.35619    4.44593e-08              0
0        2.74889    5.30501e-07              0
0        3.14159    2.43579e-07              0
0        3.53429    5.30501e-07              0
0        3.92699    4.44593e-08              0
0        4.31969    6.12257e-07              0
0        4.71239    6.67925e-07              0
0        5.10509    7.62471e-07              0
0        5.49779    2.19894e-07              0
0        5.89049    4.07122e-07              0

0.392699              0    4.25442e-06              0
0.392699       0.392699    4.10514e-07              0
0.392699       0.785398    1.17377e-06              0
0.392699         1.1781    8.60994e-07              0
0.392699         1.5708    4.00584e-06              0
0.392699         1.9635    7.49243e-07              0
0.392699        2.35619    3.06833e-08              0
0.392699        2.74889    6.50491e-07              0
0.392699        3.14159    3.03009e-06              0
0.392699        3.53429    8.28476e-07              0
0.392699        3.92699    6.33271e-07              0
0.392699        4.31969    3.57497e-07              0
0.392699        4.71239    4.18114e-07              0
0.392699        5.10509     6.8776e-07              0
0.392699        5.49779    9.54023e-07              0
0.392699        5.89049     3.8414e-07              0

0.785398              0    7.59288e-07              0
0.785398       0.392699    1.09235e-06              0
0.785398       0.785398    1.53945e-06              0
0.785398         1.1781    1.18099e-06              0
0.785398         1.5708    1.63813e-06              0
0.785398         1.9635    4.13177e-06              0
0.785398        2.35619    4.13173e-08              0
0.785398        2.74889    1.78068e-09              0
0.785398        3.14159    4.93862e-08              0
0.785398        3.53429    3.34559e-06              0
0.785398        3.92699    1.51153e-06              0
0.785398        4.31969    2.40918e-07              0
0.785398        4.71239     1.1407e-07              0
0.785398        5.10509    1.15204e-07              0
0.785398        5.49779    1.44235e-07              0
0.785398        5.89049    3.72782e-07              0

1.1781              0    4.56967e-07              0
1.1781       0.392699    4.64615e-07              0
1.1781       0.785398    2.18819e-06              0
1.1781         1.1781    2.82359e-07              0
1.1781         1.5708    2.49011e-08              0
1.1781         1.9635    6.60449e-07              0
1.1781        2.35619    2.03124e-07              0
1.1781        2.74889    1.72972e-07              0
1.1781        3.14159    3.17845e-06              0
1.1781        3.53429    1.26368e-06              0
1.1781        3.92699    2.56001e-07              0
1.1781        4.31969    5.41151e-07              0
1.1781        4.71239    2.58924e-07              0
1.1781        5.10509    5.89134e-07              0
1.1781        5.49779    3.05309e-09              0
1.1781        5.89049    9.41371e-08              0

1.5708              0    1.19809e-07              0
1.5708       0.392699    8.74461e-07              0
1.5708       0.785398    5.40191e-07              0
1.5708         1.1781    6.26496e-07              0
1.5708         1.5708    5.19195e-07              0
1.5708         1.9635    2.00094e-07              0
1.5708        2.35619    3.08108e-06              0
1.5708        2.74889    1.80072e-06              0
1.5708        3.14159    3.87731e-07              0
1.5708        3.53429    1.02079e-06              0
1.5708        3.92699    5.28841e-07              0
1.5708        4.31969    4.92921e-07              0
1.5708        4.71239       0.499898              0
1.5708        5.10509    2.65408e-07              0
1.5708        5.49779    7.50651e-07              0
1.5708        5.89049    9.08999e-07              0

1.9635              0    2.52441e-07              0
1.9635       0.392699    9.12076e-07              0
1.9635       0.785398    3.66736e-07              0
1.9635         1.1781    5.76302e-07              0
1.9635         1.5708     3.7288e-08              0
1.9635         1.9635    6.07792e-07              0
1.9635        2.35619     1.3192e-06              0
1.9635        2.74889    1.09416e-06              0
1.9635        3.14159    5.27931e-07              0
1.9635        3.53429    2.07051e-06              0
1.9635        3.92699    2.05278e-06              0
1.9635        4.31969    4.02781e-08              0
1.9635        4.71239    2.97314e-07              0
1.9635        5.10509    4.80253e-07              0
1.9635        5.49779    5.41257e-07              0
1.9635        5.89049    9.57388e-07              0

2.35619              0    9.00782e-07              0
2.35619       0.392699    1.00504e-06              0
2.35619       0.785398    1.70304e-07              0
2.35619         1.1781    1.91914e-06              0
2.35619         1.5708     2.1288e-08              0
2.35619         1.9635    3.77728e-07              0
2.35619        2.35619    2.44365e-07              0
2.35619        2.74889    1.24784e-07              0
2.35619        3.14159    4.04047e-07              0
2.35619        3.53429    8.79619e-07              0
2.35619        3.92699      3.179e-07              0
2.35619        4.31969    1.84213e-07              0
2.35619        4.71239    9.37279e-07              0
2.35619        5.10509    2.73344e-09              0
2.35619        5.49779    1.43007e-06              0
2.35619        5.89049    2.47006e-07              0

2.74889              0    2.67046e-08              0
2.74889       0.392699    3.86423e-07              0
2.74889       0.785398    2.72129e-07              0
2.74889         1.1781    2.84746e-07              0
2.74889         1.5708    2.79308e-06              0
2.74889         1.9635    2.36244e-07              0
2.74889        2.35619    5.65661e-07              0
2.74889        2.74889    4.40842e-07              0
2.74889        3.14159     1.0818e-06              0
2.74889        3.53429    5.48151e-07              0
2.74889        3.92699    3.44726e-07              0
2.74889        4.31969    2.20604e-06              0
