rx             ry    <SS(rx,ry)>  sd(SS(rx,ry))
7              8   -1.98839e-05              0
7              9      -0.999805              0
7             10   -2.34341e-05              0
7             11       0.999794              0
7             12   -1.12283e-05              0
7             13      -0.999779              0
7             14   -2.41698e-06              0
7             15       0.999777              0

8              0       0.999786              0
8              1    1.02314e-05              0
8              2      -0.999803              0
8              3    1.41482e-05              0
8              4       0.999772              0
8              5    1.90361e-05              0
8              6      -0.999798              0
8              7    1.04318e-05              0
8              8        0.99976              0
8              9    1.04318e-05              0
8             10      -0.999798              0
8             11    1.90361e-05              0
8             12       0.999772              0
8             13    1.41482e-05              0
8             14      -0.999803              0
8             15    1.02314e-05              0

9              0   -4.23705e-06              0
9              1       0.999777              0
9              2   -2.41698e-06              0
9              3      -0.999779              0
9              4   -1.12283e-05              0
9              5       0.999794              0
9              6   -2.34341e-05              0
9              7      -0.999805              0
9              8   -1.98839e-05              0
9              9       0.999809              0
9             10   -3.09196e-06              0
9             11      -0.999806              0
9             12   -8.64913e-06              0
9             13        0.99981              0
9             14   -1.70885e-05              0
9             15      -0.999795              0

10              0      -0.999808              0
10              1     1.9436e-07              0
10              2         0.9998              0
10              3    6.69781e-06              0
10              4      -0.999812              0
10              5    8.99404e-06              0
10              6       0.999813              0
10              7     3.9763e-06              0
10              8      -0.999809              0
10              9    3.03546e-07              0
10             10       0.999801              0
10             11    3.51636e-06              0
10             12      -0.999791              0
10             13   -1.31708e-05              0
10             14       0.999805              0
10             15    5.38535e-06              0

11              0   -1.93353e-05              0
11              1      -0.999782              0
11              2   -9.48788e-06              0
11              3       0.999789              0
11              4   -6.71532e-06              0
11              5      -0.999789              0
11              6    1.32498e-05              0
11              7       0.999768              0
11              8    1.20734e-05              0
11              9      -0.999772              0
11             10     2.0536e-06              0
11             11       0.999765              0
11             12    2.72374e-05              0
11             13      -0.999808              0
11             14    1.52848e-05              0
11             15       0.999799              0

12              0       0.999791              0
12              1    3.69347e-06              0
12              2      -0.999791              0
12              3   -9.13489e-06              0
12              4       0.999797              0
12              5    2.00323e-05              0
12              6      -0.999794              0
12              7    4.00699e-06              0
12              8       0.999803              0
12              9   -1.43148e-05              0
12             10       -0.99979              0
12             11    1.12525e-05              0
12             12       0.999791              0
12             13    1.32549e-05              0
12             14      -0.999783              0
12             15   -4.95163e-06              0

13              0    -1.1835e-06              0
13              1       0.999816              0
13              2    2.29978e-05              0
13              3      -0.999812              0
13              4    1.07379e-05              0
13              5       0.999821              0
13              6    -6.2343e-06              0
13              7      -0.999795              0
13              8    1.13708e-05              0
13              9       0.999798              0
13             10   -4.63448e-06              0
13             11       -0.99979              0
13             12   -4.83538e-06              0
13             13       0.999824              0
13             14   -2.63476e-06              0
13             15      -0.999793              0

14              0      -0.999786              0
14              1    3.49639e-05              0
14              2       0.999791              0
14              3   -3.94343e-06              0
14              4      -0.999745              0
14              5    1.95784e-06              0
14              6       0.999793              0
14              7    7.56738e-06              0
14              8      -0.999783              0
14              9    1.75367e-05              0
14             10       0.999824              0
14             11    1.22125e-05              0
14             12       -0.99978              0
14             13     1.6725e-05              0
14             14       0.999775              0
14             15    5.20131e-07              0

15              0    2.39526e-05              0
15              1      -0.999774              0
15              2     2.2549e-05              0
15              3       0.999789              0
15              4    3.04852e-05              0
15              5      -0.999807              0
15              6    1.53246e-05              0
15              7       0.999808              0
15              8     1.8609e-05              0
15              9      -0.999778              0
15             10    6.07592e-06              0
15             11       0.999798              0
15             12    7.03257e-06              0
15             13       -0.99978              0
15             14    3.49208e-06              0
15             15       0.999786              0

