rx             ry    <SS(rx,ry)>  sd(SS(rx,ry))
0              0              1              0
0              1   -1.25604e-05              0
0              2      -0.999782              0
0              3     6.9521e-07              0
0              4       0.999812              0
0              5    7.60638e-06              0
0              6      -0.999784              0
0              7    1.28626e-05              0
0              8       0.999806              0
0              9    1.28626e-05              0
0             10      -0.999784              0
0             11    7.60638e-06              0
0             12       0.999812              0
0             13     6.9521e-07              0
0             14      -0.999782              0
0             15   -1.25604e-05              0

1              0    2.39526e-05              0
1              1       0.999786              0
1              2    3.49208e-06              0
1              3       -0.99978              0
1              4    7.03257e-06              0
1              5       0.999798              0
1              6    6.07592e-06              0
1              7      -0.999778              0
1              8     1.8609e-05              0
1              9       0.999808              0
1             10    1.53246e-05              0
1             11      -0.999807              0
1             12    3.04852e-05              0
1             13       0.999789              0
1             14     2.2549e-05              0
1             15      -0.999774              0

2              0      -0.999786              0
2              1    5.20131e-07              0
2              2       0.999775              0
2              3     1.6725e-05              0
2              4       -0.99978              0
2              5    1.22125e-05              0
2              6       0.999824              0
2              7    1.75367e-05              0
2              8      -0.999783              0
2              9    7.56738e-06              0
2             10       0.999793              0
2             11    1.95784e-06              0
2             12      -0.999745              0
2             13   -3.94343e-06              0
2             14       0.999791              0
2             15    3.49639e-05              0

3              0    -1.1835e-06              0
3              1      -0.999793              0
3              2   -2.63476e-06              0
3              3       0.999824              0
3              4   -4.83538e-06              0
3              5       -0.99979              0
3              6   -4.63448e-06              0
3              7       0.999798              0
3              8    1.13708e-05              0
3              9      -0.999795              0
3             10    -6.2343e-06              0
3             11       0.999821              0
3             12    1.07379e-05              0
3             13      -0.999812              0
3             14    2.29978e-05              0
3             15       0.999816              0

4              0       0.999791              0
4              1   -4.95163e-06              0
4              2      -0.999783              0
4              3    1.32549e-05              0
4              4       0.999791              0
4              5    1.12525e-05              0
4              6       -0.99979              0
4              7   -1.43148e-05              0
4              8       0.999803              0
4              9    4.00699e-06              0
4             10      -0.999794              0
4             11    2.00323e-05              0
4             12       0.999797              0
4             13   -9.13489e-06              0
4             14      -0.999791              0
4             15    3.69347e-06              0

5              0   -1.93353e-05              0
5              1       0.999799              0
5              2    1.52848e-05              0
5              3      -0.999808              0
5              4    2.72374e-05              0
5              5       0.999765              0
5              6     2.0536e-06              0
5              7      -0.999772              0
5              8    1.20734e-05              0
5              9       0.999768              0
5             10    1.32498e-05              0
5             11      -0.999789              0
5             12   -6.71532e-06              0
5             13       0.999789              0
5             14   -9.48788e-06              0
5             15      -0.999782              0

6              0      -0.999808              0
6              1    5.38535e-06              0
6              2       0.999805              0
6              3   -1.31708e-05              0
6              4      -0.999791              0
6              5    3.51636e-06              0
6              6       0.999801              0
6              7    3.03546e-07              0
6              8      -0.999809              0
6              9     3.9763e-06              0
6             10       0.999813              0
6             11    8.99404e-06              0
6             12      -0.999812              0
6             13    6.69781e-06              0
6             14         0.9998              0
6             15     1.9436e-07              0

7              0   -4.23705e-06              0
7              1      -0.999795              0
7              2   -1.70885e-05              0
7              3        0.99981              0
7              4   -8.64913e-06              0
7              5      -0.999806              0
7              6   -3.09196e-06              0
7              7       0.999809              0
